文件全称,失败次数
中华人民共和国国务院知识产权行政部门,4
中华人民共和国省、自治区、直辖市人民政府,4
中华人民共和国环境影响评价法,4
中华人民共和国市场监督管理部门,4
中华人民共和国国务院期货监督管理机构,4
中华人民共和国药品管理法,4
中华人民共和国国境卫生检疫法,4
中华人民共和国公路法,4
中华人民共和国国务院食品安全监督管理部门,4
专利合作条约,4
电力监管条例,4
中华人民共和国银行业监督管理法,4
危险化学品安全管理条例,4
中华人民共和国国家质量监督检验检疫总局,4
中华人民共和国国家知识产权局公告,4
中华人民共和国定量包装商品计量监督管理办法,4
中华人民共和国国家有关标准,4
中华人民共和国中国纤维质量监测中心,4
国家煤矿安全监察局,4
中华人民共和国医疗器械监督管理条例,4
废弃电器电子产品回收处理管理条例,4
互联网信息服务管理办法,4
辽宁省优化营商环境条例,3
中华人民共和国计算机信息系统安全保护条例,3
广西壮族自治区实施〈中华人民共和国城乡规划法〉办法,3
湖南省实施〈中华人民共和国城乡规划法〉办法,3
中华人民共和国民族区域自治法,3
中华人民共和国旅游法,3
陕西省非物质文化遗产条例,3
中华人民共和国国家和省有关公共数据管理的法律法规及规范性文件,3
中华人民共和国国土空间规划,3
中华人民共和国强制性国家标准,3
中华人民共和国反不正当竞争法,3
中华人民共和国地方标准,3
中华人民共和国公安机关组织管理条例,3
国际标准化组织标准,3
湖北省人民政府,3
中华人民共和国工程建设强制性标准,3
中华人民共和国国民经济和社会发展第十四个五年规划和2035年远景目标纲要,3
中华人民共和国相关法律法规,3
中华人民共和国知识产权强国建设纲要（2021—2035年）,3
中华人民共和国生活饮用水卫生标准,3
中华人民共和国国务院公安部门,3
中华人民共和国公安部,3
相关法律、法规,3
中华人民共和国审计法,3
中华人民共和国法律、中华人民共和国行政法规、中华人民共和国规章,3
中国专利奖评选办法,3
中华人民共和国有关部门,3
中华人民共和国招标投标法,3
中华人民共和国会计法,3
中华人民共和国法律、行政法规、部门规章,3
中华人民共和国出版管理条例,3
国家规定,3
中华人民共和国当事人约定,3
中国人民解放军总装备部,3
中华人民共和国个人所得税法,3
中华人民共和国公共信用信息管理条例,3
中华人民共和国缔结或者参加的国际条约、协定,3
中华人民共和国循环经济促进法,3
中华人民共和国相关法律、行政法规,3
中华人民共和国国务院卫生健康主管部门,3
国务院,3
世界知识产权组织国际局,3
中华人民共和国环境噪声污染防治法,3
国家危险废物名录,3
有关法律、行政法规、规章以及强制性标准和技术规范,3
中华人民共和国国家海事管理机构,3
中华人民共和国缔结或者参加的国际条约,3
中华人民共和国政务信息共享条例,3
中华人民共和国国务院有关规定,3
有关规定,3
中华人民共和国特种设备安全技术规范,3
中华人民共和国药品管理法实施条例,3
中华人民共和国国务院自然资源主管部门,3
中华人民共和国危险化学品安全管理条例,3
中华人民共和国农药管理条例,3
中华人民共和国强制性标准,3
中华人民共和国参加的有关国际条约,3
中华人民共和国行政复议法实施条例,3
国务院关于加强食品等产品安全监督管理的特别规定,3
建设工程抗震管理条例,3
棉花质量监督管理条例,3
中华人民共和国计量法实施细则,3
医疗器械监督管理条例,3
中华人民共和国国家安全生产监督管理总局,3
特种作业人员安全技术培训考核管理规定,3
中华人民共和国未成年人保护法,3
其他有关规定,3
安全生产行政处罚自由裁量标准,3
中华人民共和国环境保护部,3
中华人民共和国建设工程安全生产管理条例,3
建设工程勘察设计管理条例,3
中华人民共和国棉花质量监督管理条例,3
中华人民共和国技术规范,3
中华人民共和国国家认证认可监督管理委员会,3
中国版权保护中心,3
中华人民共和国海关总署公告,3
中华人民共和国乘用车燃料消耗量评价方法及指标,3
中华人民共和国法律、中华人民共和国行政法规、中华人民共和国国家标准、中华人民共和国行业标准,3
中华人民共和国国家药品监督管理局,3
四川省工商行政管理局,3
中华人民共和国土壤污染防治法,3
有机产品认证实施规则,3
中华人民共和国污染地块信息系统,3
国家有关环境标准和技术规范,3
中华人民共和国国家标准或者中华人民共和国行业标准,3
中国银行业监督管理委员会规章,3
中华人民共和国考点局,3
安全生产法,3
中华人民共和国电子商务法,3
广西壮族自治区文物保护条例,2
广西壮族自治区食品小作坊小餐饮和食品摊贩管理条例,2
江苏省人民代表大会常务委员会关于加强小餐饮管理的决定,2
中华人民共和国计算机信息网络国际联网管理暂行规定,2
中华人民共和国海南自由贸易港法,2
海南自由贸易港社会信用条例,2
中华人民共和国畜牧法,2
城市供水条例,2
广西壮族自治区乡村规划建设管理条例,2
中华人民共和国标准化管理条例,2
湖北省矿产资源开采管理条例,2
厦门经济特区商事登记条例,2
中华人民共和国国防动员法,2
浙江省安全生产条例,2
江苏省旅游条例,2
江苏省数字经济促进条例,2
突发公共卫生事件应急条例,2
中华人民共和国野生动物保护法,2
全国人民代表大会常务委员会关于维护互联网安全的决定,2
国务院有关部门,2
中华人民共和国法律、法规、规章,2
中华人民共和国人民法院,2
中华人民共和国中央定价目录,2
中华人民共和国企业名称登记管理规定,2
中华人民共和国法律、法规,2
中华人民共和国国务院有关主管部门,2
中华人民共和国企业标准,2
国家和省的有关规定,2
相关法律法规,2
中华人民共和国商标法及其实施细则,2
四川省产品质量监督管理条例,2
国家信息安全等级保护管理规范和技术标准,2
中华人民共和国公安机关,2
中华人民共和国密码法,2
中华人民共和国中国人民银行法,2
法律、法规,2
中华人民共和国行政监督法,2
河北省工商行政管理部门,2
中华人民共和国法律、行政法规等有关法律、法规,2
湖北省工商行政管理部门,2
湖北省著名商标认定委员会,2
中华人民共和国国家有关政策文件,2
中华人民共和国国家相关法律法规,2
中华人民共和国国务院标准化行政主管部门公布的编号规则,2
中华人民共和国国家定价目录,2
有关法律、法规规定,2
中华人民共和国宗教事务条例,2
中华人民共和国国家标准强制性要求,2
中华人民共和国有关主管部门,2
国务院商务主管部门,2
中华人民共和国物权法,2
中华人民共和国社会团体登记管理条例,2
中华人民共和国法律、行政法规、地方性法规和规章,2
中华人民共和国消费者权益保护法实施条例,2
中华人民共和国工商行政管理部门,2
中华人民共和国国家有关部门,2
中华人民共和国国家规定标准,2
乌鲁木齐市城市管理主管部门,2
有关法律,2
中国共产党章程,2
中华人民共和国公职人员政务处分法,2
有关标准、技术要求,2
中华人民共和国国家标准局,2
有关法律、行政法规的基本原则,2
中华人民共和国国家法律法规和有关规定,2
中华人民共和国国家和本市有关规定,2
中华人民共和国律师法,2
中华人民共和国其他法律、法规,2
其他法律法规,2
中华人民共和国市场主体登记管理条例,2
中华人民共和国专利法实施条例,2
中华人民共和国国家知识产权局政务信息共享平台,2
国家其他有关规定,2
国家有关强制性标准,2
中华人民共和国国务院、中央军事委员会,2
中华人民共和国发票管理办法,2
中华人民共和国人民法院司法确认程序规定,2
中华人民共和国国家另有规定,2
中华人民共和国道路运输条例,2
中华人民共和国网络安全等级保护条例,2
中华人民共和国国家安全法,2
中华人民共和国继承法,2
中华人民共和国证券法,2
中华人民共和国地理标志产品保护规定,2
中华人民共和国不正当竞争行为监督检查部门,2
中华人民共和国人民检察院组织法,2
信息安全技术 个人信息安全规范,2
中华人民共和国农村土地承包法,2
中华人民共和国国家有关法律法规,2
中华人民共和国海警法,2
中华人民共和国国家知识产权局组织法,2
中华人民共和国税收征收管理法实施细则,2
中华人民共和国法律援助法,2
中华人民共和国省、自治区、直辖市人民政府农业农村主管部门,2
中华人民共和国农业转基因生物安全管理条例,2
中华人民共和国外交部,2
中华人民共和国国务院农业农村主管部门规定,2
中华人民共和国病原微生物实验室生物安全管理条例,2
中华人民共和国国务院农业农村主管部门制定的具体办法,2
国务院工商行政管理部门,2
中华人民共和国生态环境主管部门,2
国家综合性产业政策目录,2
中华人民共和国国务院生态环境主管部门规定,2
民用建筑隔声设计相关标准,2
排污许可管理条例,2
中国人大网,2
中华人民共和国环境保护标准,2
国家经济、技术条件,2
中华人民共和国广告法实施条例,2
中华人民共和国证券投资基金法,2
期货交易场所业务规则,2
中华人民共和国推荐性标准,2
中华人民共和国草原法,2
中华人民共和国预防未成年人犯罪法,2
有关船员管理的法律、行政法规,2
中华人民共和国国务院交通运输主管部门,2
中华人民共和国港口法,2
国家危险货物品名表,2
中华人民共和国国务院应急管理部门,2
中华人民共和国生态环境部,2
中华人民共和国国务院生态环境主管部门海域派出机构,2
中华人民共和国电子签名法,2
中华人民共和国国务院信息产业主管部门,2
中华人民共和国基本医疗卫生与健康促进法,2
中华人民共和国行业技术规范,2
中华人民共和国国家职业卫生标准,2
省、自治区、直辖市财政部门统一制发的罚款收据,2
中华人民共和国国家和地方污染物排放标准,2
中华人民共和国自然资源部,2
黄河流域省级人民政府,2
中华人民共和国住房和城乡建设部,2
最高人民法院、最高人民检察院关于办理利用互联网、移动通讯终端、声讯台制作、复制、出版、贩卖、传播淫秽电子信息刑事案件具体应用法律若干问题的解释,2
中华人民共和国国务院价格主管部门,2
中华人民共和国国家和浙江省相关法律法规及规范性文件,2
中华人民共和国法律、中华人民共和国行政法规和国家有关规定,2
中华人民共和国地表水环境质量标准,2
国务院专利行政部门,2
国务院专利行政部门制定的表格,2
国务院证券监督管理机构,2
国务院证券监督管理机构有关规定,2
中华人民共和国证券监督管理委员会,2
财政部关于做好安全生产监督有关罚款收入管理工作的通知,2
公共机构节能条例,2
中华人民共和国农业机械化促进法,2
国务院办公厅关于印发控制污染物排放许可制实施方案的通知,2
中华人民共和国增值税暂行条例,2
中华人民共和国增值税暂行条例实施细则,2
电力安全事故应急处置和调查处理条例,2
粮食流通管理条例,2
农业转基因生物安全管理条例,2
山东省节约用水条例,2
国务院对确需保留的行政审批项目设定行政许可的决定,2
国家功勋荣誉表彰条例,2
国务院办公厅关于加强中央企业安全生产工作的通知,2
排污费征收使用管理条例,2
特种设备安全监察条例,2
突发事件应急预案管理办法,2
民用机场管理条例,2
中华人民共和国铁路法,2
食盐专营办法,2
交通行政许可实施程序规定,2
国家铁路局职能配置、内设机构和人员编制规定,2
中华人民共和国工商行政管理机关,2
国家知识产权局专利电子申请系统,2
国家知识产权局公告,2
国家知识产权局政务信息共享平台管理办法,2
中华人民共和国国内水路运输管理条例,2
其他有关法律法规,2
每日工业产品质量安全检查记录,2
中华人民共和国强制性产品认证管理条例,2
中华人民共和国国民经济行业分类,2
中华人民共和国国务院住房和城乡建设主管部门,2
甘肃省工商行政管理部门,2
电器电子产品有害物质限制使用标识的国家标准或行业标准,2
国家规定的危险废物鉴别标准和鉴别方法,2
中华人民共和国粮食流通管理条例,2
国家粮食和储备行政管理部门,2
中华人民共和国农业转基因生物安全证书,2
中华人民共和国海关总署网站,2
爆破作业单位许可证,2
工商行政管理机关行政处罚程序规定,2
乘用车燃料消耗量评价方法及指标,2
产品质量监督抽查实施细则,2
中华人民共和国国家煤矿安全监察局,2
中华人民共和国进境动植物检疫许可证,2
相关法律法规及监管制度,2
中华人民共和国缔结或者加入的国际条约,2
中华人民共和国省、自治区、直辖市人民政府管理专利工作的部门,2
国家突发公共事件总体应急预案,2
船舶污染清除单位应急清污能力要求,2
中华人民共和国国务院国有资产监督管理委员会关于中央企业安全生产监督管理的有关规定,2
中华人民共和国法律、中华人民共和国行政法规、中华人民共和国强制性国家标准,2
中华人民共和国司法机关,2
国家知识产权局政务信息共享平台,2
食品安全国家标准,2
强制性产品认证规则,2
中华人民共和国有机产品国家标准,2
污染地块信息系统,2
道路机动车辆生产企业及产品公告,2
中华人民共和国公安部消防局,2
中华人民共和国特种设备安全监察条例,2
中华人民共和国烟花爆竹安全管理条例,2
烟花爆竹作业安全技术规程,2
中华人民共和国产品质量监督抽查管理办法,2
中华人民共和国省级市场监督管理部门,2
药品经营质量管理规范,2
国家铁路局关于铁路专用设备缺陷产品召回管理的相关规定,2
中华人民共和国地区铁路监督管理局,2
中华人民共和国本单位要求,2
专利法实施细则,2
生产安全事故应急条例,2
中华人民共和国专利代理条例,2
关键信息基础设施安全保护条例,2
中华人民共和国文物保护法实施条例,1
城市市容和环境卫生管理条例,1
优化营商环境条例,1
中华人民共和国法治宣传教育法,1
环境保护方面的相关法律法规规定,1
中华人民共和国城市居民委员会组织法办法,1
中华人民共和国食品卫生法,1
中华人民共和国就业促进法,1
河北省优化营商环境条例,1
云南省专利促进与保护条例,1
中华人民共和国森林法,1
中华人民共和国枪支管理法实施条例,1
中华人民共和国农业技术推广法,1
国务院农药管理条例,1
中华人民共和国县级人民政府,1
中华人民共和国国务院负责传统工艺美术保护工作的部门,1
中华人民共和国国务院安全生产监督管理部门,1
中华人民共和国国家煤矿安全监察机构,1
中华人民共和国国务院民用爆炸物品行业主管部门,1
安徽省人民政府关于专利奖励办法的制定规定,1
安徽省专利保护和促进条例,1
国家知识产权局关于展会专利保护工作的指导意见,1
市人民政府规定,1
中华人民共和国城市基础设施特许经营项目实施方案,1
北京市城市基础设施特许经营办法,1
安徽省人民政府,1
安徽省定价目录,1
安徽省人民政府关于价格调节基金管理办法的制定规定,1
国家和省有关规定,1
中华人民共和国财政部关于印发〈非税收入票据管理办法〉的通知,1
中华人民共和国行政事业性收费管理规定,1
安徽省人民政府决定,1
广西壮族自治区人民政府,1
城乡建设规划相关法律法规,1
皖事通办平台,1
中华人民共和国数字经济促进法（草案）,1
中华人民共和国国家和省相关电价政策文件,1
中华人民共和国国土空间详细规划,1
中华人民共和国国家和省级有关地下综合管廊收费管理的规范性文件,1
中华人民共和国宪法、中华人民共和国立法法、中华人民共和国行政处罚法等有关法律、行政法规,1
安徽省法制宣传教育条例,1
行政法规,1
吉林省工业产品质量监督条例(试行),1
中华人民共和国国家和省有关标准化工作表彰奖励的法律法规及政策文件,1
中华人民共和国吉林省科学技术奖励办法,1
中华人民共和国有关科技成果登记管理的规定,1
国际标准化组织,1
国际标准和国外先进标准,1
安徽省人民政府关于加强商标管理工作的通知,1
安徽省人民政府工商行政管理部门,1
相关行政主管部门,1
中华人民共和国国务院优化营商环境条例,1
自治区一体化政务服务平台,1
自治区政务服务事项基本目录,1
黑龙江省其他经营发票,1
哈尔滨市科学技术行政部门,1
国家工作人员所在单位或者上级机关,1
哈尔滨市技术市场管理条例,1
中华人民共和国国务院司法行政部门,1
中华人民共和国企业法,1
中华人民共和国知识产权法（草案）,1
国务院关于实施知识产权强国建设纲要（2021—2035年）的若干意见,1
中华人民共和国国际刑事司法协助法,1
中华人民共和国保守国家秘密法、中华人民共和国数据安全法、中华人民共和国个人信息保护法、中华人民共和国出口管制法、中华人民共和国刑事诉讼法,1
中华人民共和国反外国制裁法,1
中华人民共和国国家已有规定,1
中华人民共和国经济合同法,1
中华人民共和国国家经济委员会,1
国防专利内部通报,1
国务院有关主管部门、中国人民解放军有关主管部门,1
中华人民共和国国务院专利行政部门出版的专利公报,1
中华人民共和国国防专利内部通报,1
科研任务书,1
中华人民共和国国务院直属事业单位,1
中华人民共和国国务院、中央军事委员会1990年7月30日批准的《国防专利条例》,1
广东省人民政府关于展会期间专利侵权纠纷处理办法的制定规定,1
广东省专利保护条例,1
技术合同认定登记条例,1
国家工商行政管理部门,1
政务信息资源共享交换平台,1
中华人民共和国相关标准或有效文件,1
中华人民共和国国务院关于职权范围的有关规定,1
中华人民共和国著作权法、中华人民共和国商标法,1
中华人民共和国国家有关建设工程管理的行政法规或部门规章,1
技术文件、技术鉴定证书,1
中华人民共和国法律、行政法规及地方性法规等,1
广东省技术市场管理规定,1
中华人民共和国国家有关表彰奖励规定,1
广东省科学技术奖励办法,1
中华人民共和国政府购买服务管理办法,1
相关国际标准化组织,1
中华人民共和国国家和省有关举报奖励的法律法规及规范性文件,1
中华人民共和国饲料和饲料添加剂管理条例,1
广东省法制宣传教育条例,1
中华人民共和国国家相关法律法规及政策文件,1
广东省市场监督管理局,1
中华人民共和国法律、最高人民法院司法解释,1
中华人民共和国官方标志保护条例、中华人民共和国特殊标志管理条例、中华人民共和国奥林匹克标志保护条例,1
中华人民共和国国家和省的有关规定,1
广西壮族自治区工商行政主管部门关于知名商品认定办法的制定规定,1
广西壮族自治区产品质量监督管理条例,1
广西壮族自治区财政主管部门印制的罚没收据,1
中华人民共和国国务院发布的有关工业产品安全管理的行政法规或规范性文件,1
四川省数据条例,1
中华人民共和国国家和四川省相关法律法规及规范性文件,1
中华人民共和国国家和四川省有关公共数据管理的法律法规及政策文件,1
抚顺市经济社会发展情况报告,1
抚顺市法制宣传教育条例,1
辽宁省技术经纪管理相关法规,1
中华人民共和国国家相关行政管理规定,1
中华人民共和国国家和省、市有关技术交易管理规定,1
国家和省有关部门的规定,1
本溪市法制宣传教育条例,1
杭州市国民经济和社会发展第十四个五年规划和二〇三五年远景目标纲要,1
浙江省有关知识产权技术调查官制度的规定,1
中华人民共和国国家和省有关计算机信息系统安全等级保护的规范性文件,1
中华人民共和国国家保密工作部门关于涉密信息系统分级保护管理的规定和技术标准,1
中华人民共和国法律、行政法规及相关信息安全技术标准,1
中华人民共和国公安机关备案管理办法,1
中华人民共和国文化市场管理条例,1
中华人民共和国保密法律法规,1
国务院关于促进跨境电子商务健康快速发展的指导意见,1
国家发展和改革委员会关于推进“单一窗口”建设的指导意见,1
中华人民共和国单一窗口综合服务平台,1
国家外汇管理局关于进一步推进跨境人民币业务便利化的通知,1
国家信息化发展战略纲要,1
中国共产党第十八届中央委员会第三次全体会议公报、中国共产党第十八届中央委员会第四次全体会议公报,1
国家和本省有关标准,1
中华人民共和国省人民政府财政部门统一制发的专用票据,1
中华人民共和国国家有关技术管理规定,1
相关检测结果或者评估报告,1
河北省人民政府关于技术合同认定登记机构确认与公告的有关规定,1
河北省技术市场管理条例,1
中华人民共和国国家和本省有关规定,1
河北省法制宣传教育工作的若干规定,1
中华人民共和国法律及行政法规,1
中华人民共和国国务院关于地方各级人民政府机构设置和编制管理的规定,1
河北省人民政府关于著名商标评审收费的相关规定,1
河北省商标监督处罚条例,1
河南省行政机关执法条例,1
河南省财政部门统一印制的罚没票据规定,1
河南省人民政府关于信息产业优惠政策的具体办法,1
中华人民共和国促进产业结构调整暂行规定,1
国家知识产权局关于加强知识产权保护的若干意见,1
国家有关主管部门认可的信息安全测评机构,1
河南省工商行政管理部门,1
河南省有关部门,1
中华人民共和国法律、中华人民共和国行政法规、国家政策文件,1
中华人民共和国市场同种商品的价格,1
中华人民共和国国家和省有关标准化工作的规定,1
标准信息公共服务平台,1
中华人民共和国科学技术奖励条例,1
河南省重点研发计划项目评审管理办法,1
国际标准化组织章程,1
团体标准管理规定,1
中华人民共和国数据安全法及相关配套制度,1
网络信息内容生态治理规定,1
中华人民共和国行业主管部门管理规定,1
中华人民共和国网络安全监测预警和信息通报制度,1
河池市人民政府关于违法建设分类处置办法的公告,1
管廊工程设计方案,1
海东市住房和城乡建设局,1
联合国教科文组织《保护非物质文化遗产公约》,1
其他有关法律、法规原则,1
环境保护方面的相关法律法规,1
中华人民共和国参与的国际公约、协议、备忘录等,1
再制造产品的有关规定,1
中华人民共和国禁止进出境物品表,1
国际防止船舶造成污染公约,1
中华人民共和国海事局关于船舶污染防治的管理规定,1
中华人民共和国法律、中华人民共和国行政法规、中华人民共和国缔结或者参加的国际条约、国家相关标准,1
中华人民共和国适航标准,1
中华人民共和国海关总署令第243号,1
中华人民共和国国内固体废物相关规定,1
中华人民共和国保税维修政策,1
中华人民共和国征信业管理条例,1
中华人民共和国行业协会商会法,1
中华人民共和国部分商品修理更换退货责任规定,1
湖北省市、州工商行政管理部门,1
湖北省工商行政管理局,1
淮南市地方经济社会发展情况报告,1
淮南子,1
湖南省人民政府相关主管部门制定办法,1
中华人民共和国国家相关法律法规及规范性文件,1
湖南省有关勘察设计取费标准的规定,1
国家推荐的示范文本,1
中华人民共和国国家计价规定,1
项目所在地建设工程计价规定,1
湖南省人民政府住房和城乡建设主管部门组织鉴定工作规定,1
中华人民共和国国家有关质量安全强制性技术规范,1
中华人民共和国各级人民政府林业行政主管部门,1
湖南省人民政府林业行政主管部门,1
中华人民共和国国家互联网信息办公室、中华人民共和国公安部等有关部门,1
中华人民共和国相关法律法规及规范性文件,1
中国（湖南）自由贸易试验区总体方案,1
湖南省信息化条例,1
有关法规规定,1
潮州市工艺美术证标管理办法,1
国家知识产权局关于加强传统工艺美术保护工作的指导意见,1
潮州市人民政府关于引进高层次人才的若干规定,1
中华人民共和国国家和省有关表彰奖励的法律法规及规范性文件,1
中华人民共和国国家规范,1
甘肃省人民政府管理专利工作的部门与同级商务部门协同工作规定,1
中华人民共和国国务院关于建设工程勘察设计管理的有关规定,1
中华人民共和国地方各级人民政府组织法,1
甘肃省人民政府住房城乡建设行政主管部门统一制式勘察、设计文件专用章管理办法,1
中华人民共和国注册执业人员管理规定,1
中华人民共和国法律、法规汇编,1
中华人民共和国交通运输规划法,1
国家、省人民政府有关规定,1
甘肃省有关行政主管部门,1
中华人民共和国法律、中华人民共和国行政法规和国家有关规定的正式文件,1
中华人民共和国行政法,1
中华人民共和国畜牧业发展规划,1
中华人民共和国法律、行政法规中关于动物防疫和环境保护的相关规定,1
中华人民共和国财政部关于化肥使用补贴等优惠政策的相关文件,1
中华人民共和国国家发展和改革委员会关于农业用电价格的相关规定,1
中华人民共和国县级以上人民政府安排的环境保护和畜禽养殖发展相关财政资金扶持范围,1
中华人民共和国国务院农牧主管部门,1
国家有关法规,1
福建省价格听证办法,1
中华人民共和国国家有关价格调节基金设立的规定,1
福建省人民政府关于价格调节基金征收范围和标准的规定,1
中华人民共和国国务院备案管理办法,1
中华人民共和国建设法,1
国家知识产权局关于加强知识产权信息公共服务的指导意见,1
湖南省城市综合管理条例,1
中华人民共和国市场监督管理总局令第XX号,1
贵州省人民政府市场监督管理部门,1
贵州省人民政府,1
中华人民共和国区块链技术应用发展指导意见,1
中华人民共和国国家和省关于大数据安全应急管理的相关规定,1
中华人民共和国国家明令淘汰产品目录,1
黑龙江省产品质量监督管理条例,1
中华人民共和国国家和本省有关知识产权权益分配的法律法规及政策文件,1
中华人民共和国法律、中华人民共和国行政法规、黑龙江省地方性法规、国家规定,1
中华人民共和国法律、中华人民共和国行政法规以及国家有关规定,1
计算机信息网络国际联网安全保护管理办法,1
